Name,age_gyr,[Fe/H],r_birth_kpc
14 Her,11.220184543019654,0.37,1.3003637754080168
16 Cyg B,7.079457843841373,0.09,3.723813893518093
18 Del,0.7079457843841402,0.03,6.6463504606813215
24 Sex,1.4125375446227613,-0.02,6.601201000672797
30 Ari B,1.584893192461111,0.12,4.964155909696038
BD-11 4672,8.91250938133744,-0.36,6.783567183765214
CoRoT-11,2.8183829312644493,0.04,5.196338177864929
CoRoT-22,0.1258925411794171,0.23,4.6060077939509245
CoRoT-25,2.511886431509593,0.16,4.149370507089477
CoRoT-3,2.238721138568338,0.14,4.451200917319523
CoRoT-5,3.981071705534969,-0.05,5.588315249321521
EPIC 212036875,6.309573444801943,0.08,3.9267119228869616
EPIC 219388192,5.011872336272715,0.14,3.6764508134892733
EPIC 220674823,11.220184543019654,0.09,3.247723710282294
GJ 3021,5.623413251903491,0.13,3.6443782849786794
HAT-P-31,3.1622776601683795,0.15,4.034743415772729
HAT-P-34,2.511886431509593,0.08,4.935342684653687
HAT-P-35,2.8183829312644493,0.14,4.238047443177953
HAT-P-42,5.011872336272715,0.35,1.9118872767838448
HAT-P-5,6.309573444801943,0.06,4.0858924051710535
HAT-P-55,8.91250938133744,-0.01,4.215508702042412
HAT-P-59,5.011872336272715,0.357,1.8530684922269964
HAT-P-60,1.0,-0.168,8.679283486858719
HAT-P-66,2.238721138568338,0.15,4.350541404570438
HATS-13,4.466835921509653,0.14,3.790347983974586
HATS-17,3.5481338923357604,0.36,2.0141170223573077
HATS-5,7.079457843841373,0.1,3.646357705612096
HD 110113,3.981071705534969,0.14,3.903881282171982
HD 110537,7.079457843841373,0.095,3.685085799565094
HD 114729 A,11.220184543019654,-0.27,5.751472197977792
HD 11505,10.0,-0.23,5.64932754497741
HD 11964,7.943282347242854,0.09,3.601929240696659
HD 121504,1.9952623149688828,0.14,4.5536735610962396
HD 12661,4.466835921509653,0.39,1.6323529411851352
HD 129445,5.623413251903491,0.36,1.7633950312425508
HD 132406,6.309573444801943,0.12,3.608350958318777
HD 134060,1.7782794100389228,0.14,4.65292558557411
HD 134987,6.309573444801943,0.29,2.2553168589039956
HD 136418,2.511886431509593,-0.08,6.507287039782108
HD 144899,5.623413251903491,0.338,1.94331516855644
HD 147018,5.011872336272715,0.2,3.172289803002008
HD 147873,2.8183829312644493,0.26,3.088098561553582
HD 154672,5.623413251903491,0.26,2.5812138372147793
HD 154857,8.91250938133744,-0.26,6.049836188987271
HD 155193,2.238721138568338,0.05,5.357136532061283
HD 156846,2.8183829312644493,0.23,3.375585781959675
HD 159868,8.91250938133744,-0.04,4.435628000475795
HD 168443,10.0,0.07,3.5064872838739394
HD 17156,2.8183829312644493,0.22,3.471414855428373
HD 175541,3.5481338923357604,-0.12,6.383234171067943
HD 17674,8.91250938133744,-0.17,5.389478293687122
HD 180053,1.2589254117941662,0.198,4.277243360398524
HD 181234,11.220184543019654,0.351,1.4325060567030574
HD 185269 A,3.1622776601683795,0.16,3.941325474057156
HD 18742,2.238721138568338,-0.12,7.068348248795718
HD 191806,3.5481338923357604,0.3,2.5602566659461363
HD 195019,6.309573444801943,0.07,4.006302164029008
HD 208527,11.220184543019654,0.08,3.3172722793849463
HD 21411,11.220184543019654,-0.25,5.6123750597724875
HD 214823,3.5481338923357604,0.13,4.107652322781153
HD 215456,8.91250938133744,-0.07,4.655747298909178
HD 216435,3.5481338923357604,0.27,2.8333264877405506
HD 217107,5.011872336272715,0.35,1.9118872767838448
HD 219666,10.0,0.06,3.577915292577389
HD 224693,3.981071705534969,0.28,2.662719411640742
HD 23127,3.981071705534969,0.38,1.776175218404143
HD 24040,5.011872336272715,0.23,2.920209297758375
HD 24085,3.5481338923357604,0.22,3.288442857397909
HD 28254 A,6.309573444801943,0.36,1.6981851709096727
HD 28678,1.4125375446227613,-0.15,8.03174413658618
HD 30177,5.623413251903491,0.39,1.5180493894508809
HD 31253,3.1622776601683795,0.19,3.66107164891044
HD 31527,7.079457843841373,-0.18,5.815130966980021
HD 32963,7.943282347242854,0.1,3.526546227991955
HD 33283,3.1622776601683795,0.36,2.0729666397457134
HD 33844,1.0,0.16,4.8582591742705254
HD 4203,4.466835921509653,0.38,1.7186727428967128
HD 44219,7.079457843841373,0.06,3.9561824572360855
HD 45350,10.0,0.28,2.00649910110151
HD 4732 A,1.4125375446227613,0.04,5.940950322558928
HD 48265,5.011872336272715,0.39,1.5757799364590008
HD 50499,3.1622776601683795,0.33,2.353220464892429
HD 65216 A,11.220184543019654,-0.16,4.986437937848613
HD 70642,5.623413251903491,0.16,3.3990326431870104
HD 74698,6.309573444801943,0.088,3.863039729973325
HD 75784,2.511886431509593,0.19,3.854630940502899
HD 76700,4.466835921509653,0.35,1.9776321480314474
HD 83443,11.220184543019654,0.34,1.5090094827159755
HD 8673 A,1.1220184543019651,0.14,5.011994988125169
HD 9174,4.466835921509653,0.39,1.6323529411851352
HD 96063,1.584893192461111,-0.15,7.873652093302438
HD 96167,5.011872336272715,0.39,1.5757799364590008
HD 96700,8.91250938133744,-0.17,5.389478293687122
HIP 105854,1.2589254117941662,0.19,4.367055175993137
HIP 67537,0.5623413251903491,0.19,4.793335442478774
HIP 68468,5.011872336272715,0.08,4.180611823976538
HIP 74890,5.011872336272715,0.2,3.172289803002008
HIP 96334,3.1622776601683795,-0.014,5.566797659908112
HIP 97233,1.584893192461111,0.32,2.8089735514690766
HR 5183,4.466835921509653,0.09,4.221946992532475
K2-108,7.079457843841373,0.41,1.245215880526179
K2-167,7.079457843841373,-0.32,6.8995175976639835
K2-175,3.5481338923357604,0.116,4.235084906285214
K2-265,11.220184543019654,0.06,3.4563694175902526
K2-291,7.943282347242854,0.09,3.601929240696659
K2-30,8.91250938133744,0.1,3.4084046077866743
K2-370,5.623413251903491,0.118,3.7425165416953474
K2-373,3.1622776601683795,0.078,4.7073525961248475
KELT-10,7.079457843841373,0.1,3.646357705612096
KELT-6,2.8183829312644493,-0.23,7.783723161519762
Kepler-21,3.1622776601683795,0.05,4.968922832928451
Kepler-403,2.8183829312644493,0.08,4.813021883990138
Kepler-435,2.8183829312644493,0.06,5.004680030927533
Kepler-68,5.011872336272715,0.2,3.172289803002008
Kepler-7,2.8183829312644493,0.19,3.758902075834465
Kepler-710,5.623413251903491,0.08,4.053287687964794
Kepler-889,3.1622776601683795,0.1,4.50183312435059
Kepler-902,8.91250938133744,0.09,3.4817777072644684
NGTS-8,4.466835921509653,0.1,4.135627190820897
OGLE-TR-132,2.8183829312644493,0.38,1.9381496799292117
OGLE-TR-182,3.5481338923357604,0.35,2.1051402962887797
OGLE-TR-56,2.8183829312644493,0.35,2.2256369003353047
TOI-1052,1.9952623149688828,0.14,4.5536735610962396
TOI-1062,3.981071705534969,0.14,3.903881282171982
TOI-1107,2.238721138568338,0.119,4.6625858940926
TOI-172,4.466835921509653,0.243,2.901254026345332
TOI-1789,3.1622776601683795,0.399,1.7086366670549813
TOI-2158,4.466835921509653,0.394,1.5978250205005038
TOI-2322,11.220184543019654,-0.12,4.708243661438001
TOI-257,2.8183829312644493,0.4,1.7464915329918167
TOI-2969,10.0,0.08,3.4350592751704916
TOI-4406,2.511886431509593,0.088,4.856745466897266
TOI-640,3.1622776601683795,0.127,4.249604681718544
TOI-813,2.511886431509593,0.22,3.5598913739163196
TYC 3667-1280-1,0.6309573444801944,-0.04,7.593845148609412
WASP-122,2.8183829312644493,0.4,1.7464915329918167
WASP-13,3.5481338923357604,0.11,4.289698870644097
WASP-134,4.466835921509653,0.36,1.8913123463198698
WASP-137,2.8183829312644493,0.196,3.7014046317532463
WASP-151,3.981071705534969,0.09,4.347153378790281
WASP-34,6.309573444801943,0.07,4.006302164029008
WASP-36,10.0,-0.12,4.863619449239471
WASP-37,7.943282347242854,-0.21,5.863419621837799
WASP-46,11.220184543019654,-0.17,5.055986506951266
WASP-56,8.91250938133744,0.33,1.720823319797403
WASP-63,7.943282347242854,0.26,2.3204180247166803
WASP-68,3.981071705534969,0.35,2.042138476375123
WASP-70 A,2.511886431509593,0.22,3.5598913739163196
WASP-72,3.1622776601683795,0.15,4.034743415772729
WASP-82,2.8183829312644493,0.15,4.142218369709255
WASP-88,1.1220184543019651,0.06,5.927343424790405
WASP-94 B,2.511886431509593,0.34,2.380933107570004
XO-7,1.9952623149688828,0.4,1.8741954815672912
eps Tau,1.1220184543019651,0.19,4.439902215209397
rho Crb,8.91250938133744,-0.21,5.6829706915983
